filename,category,hu_0,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,zernike_0,zernike_1,zernike_2,zernike_3,zernike_4,zernike_5,zernike_6,zernike_7,zernike_8,zernike_9,zernike_10,zernike_11,zernike_12,zernike_13,zernike_14,zernike_15,zernike_16,zernike_17,zernike_18,zernike_19,zernike_20,zernike_21,zernike_22,zernike_23,zernike_24
/content/all-images/triangle/t13i-2.PNG,triangle,0.0006776823052010266,2.8712011624981807e-08,5.510533905887529e-15,3.277165278943618e-15,1.353799540893582e-29,1.398490931620609e-19,3.266833689758173e-30,0.31831,0.001387,0.002442,0.001998,0.002899,0.004364,0.00406,0.003305,0.001263,0.004648,0.006813,0.003627,0.005666,0.004568,0.001692,0.003704,0.006714,0.009519,0.005015,0.005922,0.007258,0.005766,0.002038,0.005263,0.002989
/content/all-images/triangle/t11-1.PNG,triangle,0.0007251526654399414,4.1608330443693464e-08,9.314097135364252e-14,1.688171739096467e-13,1.8407175967093093e-26,3.396651692999541e-17,1.0454284675273284e-26,0.31831,0.016062,0.000637,0.006884,0.007389,0.016428,0.014428,0.016802,0.005518,0.019698,0.03007,0.040692,0.026647,0.017653,0.004401,0.01384,0.015242,0.009169,0.010393,0.029517,0.01753,0.016964,0.019349,0.017386,0.027203
/content/all-images/triangle/t11-2.PNG,triangle,0.000678482504105303,5.038056119555992e-09,1.1346228882565835e-13,6.280628926186959e-15,3.7157336437927795e-29,1.715092443126308e-19,1.6349109701517475e-28,0.31831,0.001301,0.001089,0.001579,0.002624,0.003307,0.00187,0.002619,0.001516,0.003982,0.005112,0.006967,0.002727,0.003662,0.001927,0.00653,0.005368,0.007074,0.009748,0.003118,0.003675,0.004771,0.002151,0.008292,0.002959
/content/all-images/triangle/t14ni-2.PNG,triangle,0.0006666514029211281,1.4161869570595807e-08,1.4308072053571909e-15,4.3806731740796215e-16,8.274552664045369e-32,2.7799304628209926e-20,3.368026411908957e-31,0.31831,0.002417,0.000304,0.001025,0.004909,0.0009,0.000231,0.00164,0.004876,0.007533,0.001492,0.000752,0.000275,0.002138,0.006542,0.001789,0.010306,0.002239,0.000565,0.005825,0.001423,0.002455,0.007849,0.002478,0.00095
/content/all-images/triangle/t8c-2.PNG,triangle,0.0007042839142953776,2.7038032970940286e-08,5.197925464263677e-14,9.089401519975564e-15,7.642373092120793e-29,6.987195779923675e-19,1.8218883398583504e-28,0.31831,0.001573,0.000378,0.000682,0.003202,0.002512,0.000604,0.001063,0.00508,0.004922,0.003777,0.004579,0.000783,0.001384,0.006874,0.002086,0.006732,0.00508,0.006548,0.008723,0.000874,0.001767,0.00842,0.003169,0.005581
/content/all-images/triangle/t9ni-2.PNG,triangle,0.000691046911516194,6.5873331855924585e-09,2.246603679545693e-13,5.544878113890393e-15,9.036193321919432e-29,3.947429163726604e-19,1.735944920723652e-28,0.31831,0.016618,0.034748,0.023452,0.017671,0.029397,0.02928,0.017424,0.003348,0.012943,0.015828,0.010617,0.008117,0.016551,0.020235,0.020364,0.023229,0.007297,0.011225,0.021509,0.007878,0.02505,0.026584,0.023547,0.010423
/content/all-images/triangle/t5i-2.PNG,triangle,0.0006737853134611111,7.408367346908918e-10,5.32028389726942e-15,1.8261648362117346e-14,8.34605519022363e-29,3.625611148771934e-19,1.5948373525736648e-28,0.31831,0.01141,0.005559,0.006774,0.003805,0.003067,0.011527,0.012993,0.010098,0.011692,0.011138,0.014212,0.00705,0.010978,0.008171,0.007795,0.005002,0.007886,0.008343,0.010196,0.006122,0.012798,0.010643,0.006083,0.009727
/content/all-images/triangle/t3-1.PNG,triangle,0.0006938732167871793,5.3298826548457325e-08,2.507327367854573e-16,9.285303491159585e-17,4.376581734556879e-33,1.3506347226402974e-20,1.3474774746915906e-32,0.31831,0.000893,0.00639,0.001584,0.001664,0.001007,0.01613,0.002291,0.005596,0.003885,0.001655,0.004431,0.013509,0.00313,0.006465,0.003484,0.003985,0.002971,0.004922,0.002827,0.023902,0.004297,0.006244,0.002901,0.010419
/content/all-images/triangle/t14n-1.PNG,triangle,0.0006577973387265728,3.904252896158573e-09,9.315577149735231e-17,1.3659583144461267e-17,4.746387052364521e-34,8.52855993339453e-22,1.101849621890907e-34,0.31831,0.00109,0.00359,0.002779,0.001334,0.00068,0.003224,0.003865,0.00523,0.003743,0.003914,0.002495,0.006203,0.003743,0.006607,0.012947,0.005371,0.002948,0.005329,0.006179,0.00877,0.005707,0.006663,0.013357,0.010319
/content/all-images/triangle/t13ni-1_.PNG,triangle,0.0006740062508780278,3.000702951637169e-09,2.0623085359150253e-14,4.1871516614444454e-14,8.539764278603185e-29,2.250891547124546e-18,1.2274570886959658e-27,0.31831,0.013056,0.012615,0.015853,0.020668,0.016087,0.005582,0.01262,0.010823,0.010968,0.008481,0.009314,0.000716,0.002214,0.0095,0.004206,0.004882,0.007786,0.00738,0.008004,0.009506,0.011749,0.012869,0.007716,0.003282
/content/all-images/triangle/t11i-1_.PNG,triangle,0.000680201288938166,1.4252184120821959e-08,1.2914237702687653e-14,1.2624289053874028e-16,8.946209217572357e-32,6.664442502640094e-21,1.3408784563121016e-31,0.31831,0.010224,0.012907,0.014,0.008976,0.010039,0.006817,0.010766,0.007452,0.004711,0.00625,0.008853,0.001839,0.012002,0.012922,0.006436,0.008902,0.012959,0.018446,0.006216,0.001883,0.011555,0.015249,0.018264,0.001632
/content/all-images/triangle/t4-2.PNG,triangle,0.0006544031194603486,1.0532342749239964e-09,2.4468875471473406e-16,7.890904391426649e-18,3.4673311753457242e-34,1.0114760342687182e-22,1.0128750014746022e-36,0.31831,0.000101,0.009982,1e-06,0.000192,0.001313,0.016362,2e-06,0.00611,0.000293,0.002009,0.002009,0.022268,1e-05,0.007401,1.5e-05,0.000472,0.002742,0.002742,0.002627,0.027398,2.5e-05,0.00747,2.2e-05,0.0095
/content/all-images/triangle/t4n-2.PNG,triangle,0.0006707252771578303,2.1980039845234814e-09,1.2519662462657494e-13,1.932467814723837e-14,2.711664443775624e-28,6.99242148904645e-19,9.110276642932603e-28,0.31831,0.00158,0.00109,0.002836,0.003138,0.002737,0.001876,0.004659,0.001027,0.004653,0.004341,0.005209,0.002745,0.006379,0.001432,0.004263,0.006104,0.006196,0.00717,0.006059,0.00372,0.007964,0.001858,0.005241,0.002106
/content/all-images/triangle/t5-1.PNG,triangle,0.0006666299152117983,1.799787269944797e-11,1.4011112968686154e-14,3.8344681635655103e-16,2.4245350809021315e-32,1.4752561711785902e-22,8.884487249159945e-31,0.31831,0.015831,0.000981,0.003013,0.017855,0.016523,0.016068,0.019695,0.019679,0.001102,0.005572,0.003574,0.014261,0.010847,0.014873,0.019469,0.009068,0.018982,0.021351,0.020685,0.005994,0.011141,0.005109,0.0046,0.006041
/content/all-images/triangle/t6n-2.PNG,triangle,0.0006590092733621444,3.493741805859713e-09,7.513197928648064e-15,2.19362735200979e-17,4.903480658751766e-34,9.632860909551273e-22,8.891957015005786e-33,0.31831,0.001159,0.00042,0.000586,0.00236,0.00183,0.000818,0.000748,0.002424,0.003634,0.002901,0.004695,0.001383,0.000563,0.003609,0.006929,0.004986,0.004147,0.006759,0.009602,0.002166,0.000554,0.005006,0.007739,0.007642
/content/all-images/triangle/t5i-1.PNG,triangle,0.0006573727876121251,2.750250800785098e-09,4.2811046909446704e-17,1.6361804110740564e-16,3.8349797902641884e-33,4.611428629806147e-21,1.31458630770151e-32,0.31831,0.000285,0.005056,0.000687,0.000603,0.001161,0.007999,0.001151,0.002812,0.000988,0.001709,0.002543,0.010264,0.001621,0.003696,0.00162,0.001467,0.002221,0.003325,0.001607,0.011516,0.002099,0.004253,0.002107,0.004627
/content/all-images/triangle/t10-2.PNG,triangle,0.0006630592797092802,5.49938069349046e-10,1.6104557865288604e-14,4.3114661954839003e-16,2.9880813035927488e-31,9.826253675049486e-21,1.0960880899522937e-30,0.31831,0.007164,0.003127,0.006003,0.006606,0.004216,0.003422,0.00067,0.006376,0.002824,0.003161,0.002076,0.007953,0.0041,0.010066,0.004896,0.005625,0.00384,0.006284,0.00647,0.003259,0.004139,0.009942,0.001401,0.004971
/content/all-images/triangle/t9n-2.PNG,triangle,0.0006766672414080587,2.0257452375746296e-08,3.277420797452942e-14,4.01862974211004e-14,1.4577389712004361e-27,5.679027546145269e-18,4.4617422915042893e-29,0.31831,0.001468,0.000975,0.00168,0.003017,0.000789,0.001293,0.002763,0.005656,0.004711,0.001194,0.000719,0.001087,0.003783,0.007631,0.002122,0.006579,0.001631,0.001165,0.003965,0.000108,0.004698,0.009238,0.002848,0.002121
/content/all-images/triangle/t10i-2.PNG,triangle,0.0006665419863595111,5.04127558266194e-09,5.4997187394147035e-15,5.689304692991497e-15,1.9335523226066703e-29,7.868645088083179e-20,2.527695402325249e-29,0.31831,0.000858,5.8e-05,0.001774,0.003194,0.002483,0.002558,0.002858,0.003277,0.004682,0.005234,0.007339,0.00198,0.006081,0.002273,0.007295,0.003741,0.005429,0.009093,0.002659,0.000397,0.007634,0.002869,0.005814,0.001846
